"?필수?교양?교과목(광운인되기,영어)?강의시간표",,,,,,,,,
2024학년도 2학기,,,,,,,,,
7000-1-3095-16,융합적사고와글쓰기,,,교필,3,3,전도현,"월4,수3",
7000-1-3095-17,융합적사고와글쓰기,,,교필,3,3,김영범,"금3,4",
6000-1-3095-01,융합적사고와글쓰기,"자연과학대학 공통
(N1~N5,P1)",,교필,3,3,추선진,"월6,수5",
6000-1-3095-02,융합적사고와글쓰기,,,교필,3,3,소유정,"화5,목6",
6000-1-3095-03,융합적사고와글쓰기,,,교필,3,3,이혜정,"화6,목5",
6000-1-3095-04,융합적사고와글쓰기,,,교필,3,3,손미영,"금1,2",
6000-1-3095-05,융합적사고와글쓰기,,,교필,3,3,,"금3,4",
6000-1-3095-06,융합적사고와글쓰기,,,교필,3,3,정우신,"금5,6",
F000-1-3095-01,융합적사고와글쓰기,"정책법학대학 공통 (S1~S3,L1~L3)",,교필,3,3,신현규,"월2,수1",
F000-1-3095-02,융합적사고와글쓰기,,,교필,3,3,김민지,"월3,수4",
F000-1-3095-03,융합적사고와글쓰기,,,교필,3,3,우채리,"월5,수6",
F000-1-3095-04,융합적사고와글쓰기,,,교필,3,3,차선일,"월6,수5",
F000-1-3095-05,융합적사고와글쓰기,,,교필,3,3,이미진,"화1,목2",
F000-1-3095-06,융합적사고와글쓰기,,,교필,3,3,김주상,"화2,목1",
F000-1-3095-07,융합적사고와글쓰기,,,교필,3,3,신제원,"화6,목5",
0000-1-3095-01,융합적사고와글쓰기,외국인만 수강가능,,교선,3,3,최수현,"목5,6",외국인전용
"? 2020학년도부터 ‘융합적사고와글쓰기’ 교과목이 전체 학생을 대상으로 필수로 적용됩니다. (학기별로 개설 단과대학이 다르니 유의할 것)
- 1학기 : 인융대, 공대, 인사대, 경영대 / - 2학기 : 전정대, 정법대, 자연대
? 2016~2019학년도 인문계열(인사대, 정법대 입학생) 입학자 중 ‘말하기와소통’, ‘읽기와쓰기’를 이수하지 못한 학생은 ‘융합적사고와글쓰기’로 대체 가능합니다.
? 1학급 당 정원을 초과하여 수강 신청할 수 없습니다 (정원 30명)",,,,,,,,,
?필수?교양?교과목(정보영역)?강의시간표,,,,,,,,,
2024학년도 2학기,,,,,,,,,
학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
7060-1-7408-01,C프로그래밍응용,전자(E1),,교필,3,3,조영진,"화1,목2",
