교과목명,학정번호,담당교수,에러,2022,2023,2024,2021,과목명
,0000-1-8128-01,김정권,,993,1040,,993,광운인되기
,0000-1-8128-02,한재현,,97,125,,,광운인되기
,I000-1-3362-01,이진영,,,,,,대학영어
,I000-1-3362-02,손영희,,14,15,,29,대학영어
,I000-1-3362-03,오경애,,30,30,,7,대학영어
,I000-1-3362-04,오경애,,30,30,,7,대학영어
,I000-1-3362-05,고현아,,29,29,,,대학영어
,I000-1-3362-06,고현아,,29,29,,,대학영어
,I000-1-3362-07,유선영,,,,,,대학영어
,I000-1-3362-08,김은주,,35,29,,30,대학영어
,I000-1-3362-09,신승한,,,30,,,대학영어
,I000-1-3362-10,신승한,,,30,,,대학영어
,I000-1-3362-11,정지수,,,,,,대학영어
,I000-1-3362-12,정지수,,,,,,대학영어
,I000-1-3362-13,목승혜,,29,30,,,대학영어
,I000-1-3362-14,김연정,,,21,,29,대학영어
,1000-1-3362-01,조성은,,,32,,,대학영어
,1000-1-3362-02,손가연,,,,,,대학영어
,1000-1-3362-03,손가연,,,,,,대학영어
,1000-1-3362-04,오경애,,30,30,,7,대학영어
,1000-1-3362-05,정지수,,,,,,대학영어
,1000-1-3362-06,박용준,,,15,,,대학영어
,3000-1-3362-01,박소현,,,,,,대학영어
,3000-1-3362-02,박미경,,,,,,대학영어
,3000-1-3362-03,유수진,,,,,,대학영어
,3000-1-3362-04,이현경,,,,,,대학영어
,3000-1-3362-05,최정윤,,35,28,,,대학영어
,3000-1-3362-06,이종국,,33,30,,30,대학영어
,3000-1-3362-07,김지희,,35,30,,30,대학영어
,3000-1-3362-08,고현아,,29,29,,,대학영어
,5000-1-3362-01,방승희,,,,,,대학영어
,5000-1-3362-02,김주연,,,,,,대학영어
,5000-1-3362-03,김경옥,,,30,,,대학영어
,5000-1-3362-04,조윤주,,29,29,,,대학영어
,5000-1-3362-05,강희원,,35,30,,30,대학영어
,5000-1-3362-06,정관희,,35,30,,30,대학영어
,5000-1-3362-07,김보식,,,30,,,대학영어
,0000-1-3362-01,이지혜,,23,28,,,대학영어
,7000-1-3095-01,유승호,,16,11,,27,융합적사고와글쓰기
,7000-1-3095-02,안웅선,,,30,,,융합적사고와글쓰기
,7000-1-3095-03,손미영,,32,30,,29,융합적사고와글쓰기
,7000-1-3095-04,손미영,,32,30,,,융합적사고와글쓰기
,7000-1-3095-05,정재훈,,32,30,,30,융합적사고와글쓰기
,7000-1-3095-06,김승래,,,,,,융합적사고와글쓰기
,7000-1-3095-07,김학현,,24,30,,28,융합적사고와글쓰기
,7000-1-3095-08,김광섭,,30,30,,12,융합적사고와글쓰기
,7000-1-3095-09,조영복,,,30,,14,융합적사고와글쓰기
,7000-1-3095-10,허진혁,,,30,,,융합적사고와글쓰기
,7000-1-3095-11,김문정,,31,30,,30,융합적사고와글쓰기
,7000-1-3095-12,이은란,,,29,,,융합적사고와글쓰기
,7000-1-3095-13,이은경,,,30,,,융합적사고와글쓰기
,7000-1-3095-14,정영호,,32,26,,29,융합적사고와글쓰기
,7000-1-3095-15,박보름,,27,30,,6,융합적사고와글쓰기
,7000-1-3095-16,전도현,,32,30,,29,융합적사고와글쓰기
,7000-1-3095-17,김영범,,31,29,,30,융합적사고와글쓰기
,6000-1-3095-01,추선진,,,30,,,융합적사고와글쓰기
,6000-1-3095-02,소유정,,32,29,,30,융합적사고와글쓰기
,6000-1-3095-03,이혜정,,,,,,융합적사고와글쓰기
,6000-1-3095-04,손미영,,32,30,,,융합적사고와글쓰기
,6000-1-3095-05,,,,,,,융합적사고와글쓰기
,6000-1-3095-06,정우신,,30,,,30,융합적사고와글쓰기
,F000-1-3095-01,신현규,,,,,28,융합적사고와글쓰기
,F000-1-3095-02,김민지,,,30,,,융합적사고와글쓰기
,F000-1-3095-03,우채리,,,,,,융합적사고와글쓰기
,F000-1-3095-04,차선일,,,,,,융합적사고와글쓰기
,F000-1-3095-05,이미진,,,,,,융합적사고와글쓰기
,F000-1-3095-06,김주상,,,30,,,융합적사고와글쓰기
,F000-1-3095-07,신제원,,,,,,융합적사고와글쓰기
,0000-1-3095-01,최수현,,,33,,,융합적사고와글쓰기
,7060-1-7408-01,조영진,,,,,,C프로그래밍응용
