Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
360,0000-2-2968-02,한국의문화유산,외국인만 수강가능,,,,Null,교선,3,3,김형근,"(1:1),(3:2)",외국인전용,True,False,,,,,
361,0000-2-4925-01,현대사회와스포츠,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,한지영,"(4:5),(4:6)",Null,,,,,,,
362,0000-2-4925-02,현대사회와스포츠,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,강지연,"(1:7),(1:8),(1:9)",Null,,,,,,,
363,0000-3-5682-01,생활속의디자인,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,김문석,0,원격수업100?,,,,,,,
364,0000-3-3200-01,운동과건강,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,김혜련,"(1:1),(1:2)",Null,,,,,,,
365,0000-3-3200-02,운동과건강,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,이시은,"(4:1),(4:2)",Null,,,,,,,
366,0000-3-3200-03,운동과건강,참빛인재대학 전용,"V1,V2,V3,V4",,,Null,교선,3,3,박석,"(6:1),(6:2)",Null,,,,,True,,
367,0000-1-3671-01,기초영문법,외국인만 수강가능,,,,Null,교선,3,3,손영희,"(1:2),(3:1)",외국인전용,True,False,,,,,
368,0000-1-0355-01,기초영어회화,외국인만 수강가능,,,,Null,교선,3,3,브라이언,"(1:4),(3:3)",외국인전용,True,False,,,,,
369,0000-1-0355-02,기초영어회화,외국인만 수강가능,,,,Null,교선,3,3,에이미,"(2:1),(4:2)",외국인전용,True,False,,,,,
371,0000-1-1078-01,영어회화1,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,브라이언,"(1:3),(3:4)",소규모강의,,,,,,,
372,0000-1-1078-02,영어회화1,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,에이미,"(2:2),(4:1)",소규모강의,,,,,,,
373,0000-1-1078-03,영어회화1,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,브라이언,"(2:3),(4:4)",소규모강의,,,,,,,
374,0000-2-4105-01,TED로배우는영어,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,에이미,"(1:4),(3:3)",Null,,,,,,,
375,0000-2-4111-01,TOEIC연습1,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,Null,"(2:4),(4:3)",Null,,,,,,,
376,0000-2-4067-01,기초영작문,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,손영희,"(1:4),(3:3)",Null,,,,,,,
377,0000-2-4913-02,대학영문법1,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,손가연,"(2:1),(4:2)",Null,,,,,,,
378,0000-2-9740-01,생활영어번역,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,Null,"(2:3),(4:4)",Null,,,,,,,
379,0000-2-1079-01,영어회화2,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,에이미,"(1:3),(3:4)",Null,,,,,,,
380,0000-2-1079-02,영어회화2,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,브라이언,"(2:2),(4:1)",Null,,,,,,,
381,0000-2-1079-03,영어회화2,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,에이미,"(2:3),(4:4)",Null,,,,,,,
382,0000-3-4106-01,OPIc연습,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,오경애,"(1:3),(3:4)",Null,,,,,,,
383,0000-3-4129-01,비지니스프레젠테이션,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,브라이언,"(2:4),(4:3)",Null,,,,,,,
384,0000-3-0910-01,시사영어,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,고현아,"(1:2),(3:1)",Null,,,,,,,
385,0000-3-4427-01,아카데믹라이팅연습,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,Null,"(1:3),(3:4)",Null,,,,,,,
386,0000-3-8596-01,영미문화읽기,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,노진서,"(1:6),(3:5)",Null,,,,,,,
387,0000-3-8596-02,영미문화읽기,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,노진서,"(5:1),(5:2)",Null,,,,,,,
388,0000-4-4118-01,영어베스트셀러읽기,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,Null,"(2:6),(4:5)",Null,,,,,,,
389,0000-1-4625-01,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,장정환,"(1:1),(3:2)",Null,,,,,,,
390,0000-1-4625-02,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,Null,"(5:3),(5:4)",Null,,,,,,,
391,0000-1-4625-03,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,유다혜,"(1:5),(3:6)",Null,,,,,,,
392,0000-1-4625-04,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,박정준,"(1:6),(3:5)",Null,,,,,,,
393,0000-1-4625-05,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,양훈기,"(2:1),(4:2)",Null,,,,,,,
394,0000-1-4625-06,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,김동호,"(2:2),(4:1)",Null,,,,,,,
395,0000-1-4625-07,대학수학및연습1,"전자,전통,전융 (E1~E8)","E1,E2,E3,E4,E5,E6,E7,E8",,,Null,교선,3,3,Null,"(5:5),(5:6)",Null,,,,,,,
396,0000-1-4625-08,대학수학및연습1,"전기,재료,반도체 (J1~J4,T1~T2)","J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,김순영,"(1:1),(3:2)",Null,,,,,,,
397,0000-1-4625-09,대학수학및연습1,"전기,재료,반도체 (J1~J4,T1~T2)","J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,하재근,"(2:5),(4:6)",Null,,,,,,,
398,0000-1-4625-10,대학수학및연습1,"전기,재료,반도체 (J1~J4,T1~T2)","J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,고승훈,(4:5),원격수업100?,,,,,,,
399,0000-1-4625-11,대학수학및연습1,"전기,재료,반도체 (J1~J4,T1~T2)","J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,최종성,"(5:3),(5:4)",Null,,,,,,,
400,0000-1-4625-12,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,Null,"(5:1),(5:2)",Null,,,,,,,
401,0000-1-4625-13,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,김영희,(1:4),원격수업50이상,,,,,,,
402,0000-1-4625-14,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,Null,"(5:3),(5:4)",Null,,,,,,,
403,0000-1-4625-15,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,유지현,"(1:6),(3:5)",Null,,,,,,,
404,0000-1-4625-16,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,심은화,"(2:1),(4:2)",Null,,,,,,,
405,0000-1-4625-17,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,홍석영,"(2:3),(4:4)",Null,,,,,,,
406,0000-1-4625-18,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,김소영,"(2:4),(4:3)",Null,,,,,,,
407,0000-1-4625-19,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,윤미,"(2:5),(4:6)",Null,,,,,,,
408,0000-1-4625-20,대학수학및연습1,"인공지능융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,김원주,"(5:5),(5:6)",Null,,,,,,,
409,0000-1-4625-21,대학수학및연습1,"건축,화공,환경 (A1,K1~K3)","A1,K1,K2,K3",,,Null,교선,3,3,전성희,"(1:4),(3:3)",Null,,,,,,,
410,0000-1-4625-22,대학수학및연습1,"건축,화공,환경 (A1,K1~K3)","A1,K1,K2,K3",,,Null,교선,3,3,권윤기,"(1:5),(3:6)",Null,,,,,,,
411,0000-1-4625-23,대학수학및연습1,"건축,화공,환경 (A1,K1~K3)","A1,K1,K2,K3",,,Null,교선,3,3,류송분,"(5:1),(5:2)",Null,,,,,,,
412,0000-1-4625-24,대학수학및연습1,수학(N1),N1,,,Null,교선,3,3,이종우,"(2:4),(4:3)",Null,,,,,,,
413,0000-1-4625-25,대학수학및연습1,"전자바이오물리 (N2,N3)","N2,N3",,,Null,교선,3,3,이호석,"(1:5),(3:6)",Null,,,,,,,
414,0000-1-4625-26,대학수학및연습1,"화학(N4,N5)","N4,N5",,,Null,교선,3,3,정계선,"(2:6),(4:5)",Null,,,,,,,
415,0000-1-4626-01,대학수학및연습2,재수강용,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,연윤정,"(2:7),(2:8),(2:9)",Null,,,,,,,
416,0000-1-4626-02,대학수학및연습2,건축공학과 2학년,A2,,2,Null,교선,3,3,박지연,"(5:1),(5:2)",Null,,,,,,,
417,0000-1-4628-01,기초수학및연습,전정대 1학년,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,1,Null,교선,3,3,Null,"(5:1),(5:2)",Null,,,,,,,
418,0000-1-4628-02,기초수학및연습,전정대 1학년,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,1,Null,교선,3,3,최종성,"(2:1),(4:2)",Null,,,,,,,
419,0000-1-4628-03,기초수학및연습,전정대 1학년,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,1,Null,교선,3,3,서보윤,"(5:3),(5:4)",Null,,,,,,,
420,0000-1-4628-04,기초수학및연습,"인융대, 공대 1학년","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3",,1,Null,교선,3,3,강우석,"(5:1),(5:2)",Null,,,,,,,
421,0000-1-4628-05,기초수학및연습,자연대 1학년,"N1,N2,N3,N4,N5",,1,Null,교선,3,3,이현근,"(5:3),(5:4)",Null,,,,,,,
422,0000-1-4628-06,기초수학및연습,건축공학(A2),A2,,,Null,교선,3,3,조향감,"(1:1),(3:2)",Null,,,,,,,
423,0000-1-0109-01,경영통계,경영 (B1~B4),"B1,B2,B3,B4",,,Null,교선,3,3,이석준,"(2:1),(4:2)",Null,,,,,,,
424,0000-1-0109-02,경영통계,경영 (B1~B4),"B1,B2,B3,B4",,,Null,교선,3,3,이석준,"(2:2),(4:1)",Null,,,,,,,
425,0000-1-5704-01,자연교양세미나,1학년만 수강가능,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,1,Null,교선,3,3,김영희,"(3:5),(3:6)","세미나강의,소규모강의",,,,,,,
426,0000-1-5704-02,자연교양세미나,1학년만 수강가능,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,1,Null,교선,3,3,이영수,"(1:6),(3:5)","세미나강의,소규모강의",,,,,,,
427,0000-2-4969-01,공학수학1,전정대,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,최윤철,"(1:1),(3:2)",영어50?,,,,,,,
428,0000-2-4969-02,공학수학1,전정대,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,김태균,"(2:3),(4:4)",영어50?,,,,,,,
429,0000-2-4969-03,공학수학1,전정대,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,돌지,"(2:4),(4:3)",영어100?,,,,,,,
430,0000-2-4969-04,공학수학1,전정대,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,박주희,"(5:1),(5:2)",Null,,,,,,,
431,0000-2-4969-05,공학수학1,전정대,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교선,3,3,안소영,"(5:3),(5:4)",Null,,,,,,,
432,0000-2-4969-06,공학수학1,인융대,"C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,돌지,"(2:3),(4:4)",영어100?,,,,,,,
433,0000-2-4969-07,공학수학1,인융대,"C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,최현옥,"(5:1),(5:2)",Null,,,,,,,
434,0000-2-4969-08,공학수학1,인융대,"C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교선,3,3,엄태관,"(5:5),(5:6)",Null,,,,,,,
435,0000-2-4969-09,공학수학1,전자 2학년,"E1,E2,E3,E4",,2,Null,교선,3,3,이재승,"(5:5),(5:6)",영어50?,,,,,,,
436,0000-2-4969-10,공학수학1,전자 2학년,"E1,E2,E3,E4",,2,Null,교선,3,3,Null,"(1:5),(3:6)",영어50?,,,,,,,
437,0000-2-4969-11,공학수학1,전통 2학년,"E5,E6",,2,Null,교선,3,3,박수원,"(2:5),(4:6)",Null,,,,,,,
438,0000-2-4969-12,공학수학1,전융 2학년,"E7,E8",,2,Null,교선,3,3,Null,"(1:6),(3:5)",Null,,,,,,,
439,0000-2-4969-13,공학수학1,전기 2학년,"J1,J2",,2,Null,교선,3,3,윤민한,(2:4),원격수업100?,,,,,,,
440,0000-2-4969-14,공학수학1,화공 2학년,"K1,K2",,2,Null,교선,3,3,이기원,"(1:6),(3:5)",Null,,,,,,,
441,0000-2-4969-15,공학수학1,환경 2학년,K3,,2,Null,교선,3,3,코두루,"(4:5),(4:6)",영어100?,,,,,,,
442,0000-2-7724-01,수학과철학의대화,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,최종성,"(1:3),(3:4)",융합강의,,,,,,,
443,0000-2-8119-01,패러독스와논리,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,최종성,"(1:4),(3:3)",Null,,,,,,,
444,0000-3-0819-01,선형대수학,전융 3학년,"E7,E8",,3,Null,교선,3,3,정용식,"(1:3),(3:4)",영어50?,,,,,,,
445,0000-3-0819-02,선형대수학,전기 3학년,"J1,J2",,3,Null,교선,3,3,허돈,(2:3),원격수업100?,,,,,,,
446,0000-3-0819-03,선형대수학,컴정 2학년,"C1,C2,C3",,2,Null,교선,3,3,김상목,"(1:5),(3:6)",영어50?,,,,,,,
447,0000-3-0819-04,선형대수학,컴정 2학년,"C1,C2,C3",,2,Null,교선,3,3,박철수,"(2:6),(4:5)",영어50?,,,,,,,
448,0000-3-1942-01,확률및통계,컴정 3학년,"C1,C2,C3",,3,Null,교선,3,3,신동화,"(1:1),(3:2)",Null,,,,,,,
449,0000-3-1942-02,확률및통계,소프트 3학년,"C4,C5,C6",,3,Null,교선,3,3,이종실,"(1:2),(3:1)",Null,,,,,,,
450,0000-3-8120-01,정보사회와수학,Null,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교선,3,3,김영희,"(1:2),(3:1)",융합강의,,,,,,,
451,0000-1-3414-01,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,임준섭,"(1:2),(3:1),(3:2)",영어50?,,,,,,,
452,0000-1-3414-02,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,이건준,"(1:4),(3:3),(3:4)",원격수업50이상,,,,,,,
453,0000-1-3414-03,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,이재승,"(1:6),(3:5),(3:6)",원격수업50이상,,,,,,,
454,0000-1-3414-04,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,박병주,"(2:4),(4:3),(4:4)",Null,,,,,,,
455,0000-1-3414-05,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,나영호,"(2:6),(4:5),(4:6)",Null,,,,,,,
456,0000-1-3414-06,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,김윤기,"(2:1),(2:2),(4:2)",Null,,,,,,,
457,0000-1-3414-07,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,구제환,"(2:3),(2:4),(4:4)",Null,,,,,,,
458,0000-1-3414-08,대학물리및실험1,"전자,전통,재료 (E1~E6,J3~J4)","E1,E2,E3,E4,E5,E6,J3,J4",,,Null,교선,3,4,구제환,"(2:5),(2:6),(4:6)",Null,,,,,,,
