Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
24,6000-1-3362-06,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,김보식,"(5:5),(5:6)",Null,,,,,,,
25,F000-1-3362-01,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,Null,"(1:4),(3:3)",Null,,,,,,,
26,F000-1-3362-02,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,Null,"(1:5),(3:6)",Null,,,,,,,
27,F000-1-3362-03,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,유선영,"(2:1),(4:2)",Null,,,,,,,
28,F000-1-3362-04,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,신승한,"(2:2),(4:1)",Null,,,,,,,
29,F000-1-3362-05,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,오경애,"(2:3),(4:4)",Null,,,,,,,
30,F000-1-3362-06,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,오경애,"(2:6),(4:5)",Null,,,,,,,
31,F000-1-3362-07,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,박미경,"(5:3),(5:4)",Null,,,,,,,
32,0000-1-3362-01,대학영어,외국인만 수강가능,,,,Null,교선,3,3,이지혜,"(5:1),(5:2)",외국인전용,True,False,,,,,
33,I000-1-3095-01,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,박주은,"(1:1),(3:2)",Null,,,,,,,
34,I000-1-3095-02,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,김강은,"(1:2),(3:1)",Null,,,,,,,
35,I000-1-3095-03,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,공혜란,"(1:3),(3:4)",Null,,,,,,,
36,I000-1-3095-04,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,Null,"(1:4),(3:3)",Null,,,,,,,
37,I000-1-3095-05,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,정재훈,"(1:5),(3:6)",Null,,,,,,,
38,I000-1-3095-06,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,추선진,"(1:6),(3:5)",Null,,,,,,,
39,I000-1-3095-07,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,김학현,"(2:1),(4:2)",Null,,,,,,,
40,I000-1-3095-08,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,김광섭,"(2:2),(4:1)",Null,,,,,,,
41,I000-1-3095-09,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,조영복,"(2:3),(4:4)",Null,,,,,,,
42,I000-1-3095-10,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,허진혁,"(2:4),(4:3)",Null,,,,,,,
43,I000-1-3095-11,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,김문정,"(2:5),(4:6)",Null,,,,,,,
44,I000-1-3095-12,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,이은란,"(2:6),(4:5)",Null,,,,,,,
45,I000-1-3095-13,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,김영범,"(5:1),(5:2)",Null,,,,,,,
46,I000-1-3095-14,융합적사고와글쓰기,"인공지능 융합대학 공통 (C1~C9,J5~J8)","C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8",,,Null,교필,3,3,정영호,"(5:3),(5:4)",Null,,,,,,,
47,1000-1-3095-01,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,소유정,"(1:3),(3:4)",Null,,,,,,,
48,1000-1-3095-02,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,이혜정,"(1:6),(3:5)",Null,,,,,,,
49,1000-1-3095-03,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,이소망,"(2:1),(4:2)",Null,,,,,,,
50,1000-1-3095-04,융합적사고와글쓰기,"공과대학 공통 (A1~A2,K1~K3)","A1,A2,K1,K2,K3",,,Null,교필,3,3,박보름,"(2:3),(4:4)",Null,,,,,,,
